toxic_sentence	neutral_sentence	lang
"#LandderVollidioten #geisteskrank - ""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."	"""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."	de
#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP	#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP	de
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!	Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!	de
So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht	So eine Person, lässt Kinder im Krieg allein und Fahnenflucht	de
ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?	ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?	de
Wer will ein Hering So Dumm wie die Göring🤯	Wer will ein Hering So schlau wie die Göring🤯	de
Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!	Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!	de
Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD	Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD	de
Verdammt die Olle Merkel tritt wieder an !!!	die Merkel tritt wieder an !!!	de
Der Fettsack soll mal besser den Kopf zu machen.	Der Mann soll mal besser den Kopf zu machen.	de
RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !	RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !	de
dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin	dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin	de
"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜"	"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"	de
Na die Alte fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮	Na die Frau fliegt ja sehr gerne um die Welt. Man sollte jede Passagierliste nach Der durchsuchen, und Bilder machen wenn man sie im Flieger erwischt.🤮🤮🤮	de
auch heute wieder nur drittklassige #Laiendarsteller in einem extrem beschissenen #Tatort #ARD	auch heute wieder nur drittklassige #Laiendarsteller in einem schlechten #Tatort #ARD	de
#Grüne und #FDP kriechen #Merkel doch jetzt schon in den Arsch damit sie nur schnell an die Macht kommen #CDU	#Grüne und #FDP wollen #Merkel doch jetzt schon gefallen damit sie nur schnell an die Macht kommen #CDU	de
Jetzt melden sich die Vasallen Merkels!	Jetzt melden sich die Unterstützer Merkels!	de
Nö, der sieht dumm aus. 😾	Nö, der gefällt mir optisch nicht.	de
