toxic_sentence	neutral_sentence	lang
no , that s fucking bullshit .	No, that is so wrong	en
I can change my IP at will asshole.	I can change my IP at will.	en
do people really think everyone is too dumb to recognize this double standard ?	Do people really think everyone does not recognize this double standard.	en
HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?	Hello, how do I get someone to fix problems around here?	en
Next time, I will force you to eat your own shit.	Next time, I will force you to do bad things.	en
holy shit yeah , forgot about that one .	Just forget about that one	en
maybe now no one will be rammed in the ass .	maybe now no one will be treated badly	en
i thought world leader just picked random shit to do , thank you for informing us ! .	I thought world leader just picked a random things to do ,thank you for informing us!.	en
ibrahim is kind of a dick lately .	Ibrahim has been kind of mean lately	en
why do you guys do this shit out west ?	Why do you guys do this out of west?	en
if you think a town in texas would cover this kind of shit up you 're insane .	If you think a town in texas would cover something like this up you are wrong	en
fuck you Funny how a wikipedia article i tried to create is now an actual article.	Funny how a wikipedia article i tried to create is now an actual article.	en
this shit has gone full circle from parody .	This has gone full circle from parody	en
i cannot help thinking if they wanted my opinion on shit , they could just ask .	I can't help thinking if they wanted my opinion on something, they could just ask.	en
ps, congradulations on recieving the bitch star, you definatly deserve it ryan.	Congratulations on receiving the award, you definetly deserve it, Ryan.	en
I mind my language when i'm working with real people, not an ignorant dumbass!	I mind my language when i'm working with real people, not an ignorant people!	en
the really sad fucking part is they tried this story before in number maannews .	the really sad part is that they tried this story before in the maannews.	en
who the fuck is pushing diversity on you ? .	who is pushing diversity on you ? .	en
This site is rubbish and is possibly slanderous.	This site is not of high quality and is possibly slanderous.	en
"the "" joke "" that canada 's military is a joke is extremely played out , shit 's not funny ."	"the "" joke "" that canada 's military is a joke is extremely played out  and it's not funny."	en
Do you have to be such a dick to him?	Do you have to be such rude to him?	en
"I see nothing wrong with calling an asshole ""asshole""."	"I see nothing wrong with calling bad people ""bad""."	en
most of the information is total garbage .	most of the information is total waste	en
can t people just leave cuba alone so it can get it s feet under itself for number fuckin minutes ? .	Can people just leave Cuba to itself so it can get its feet under itself for number minutes?	en
Rubbish. I do not support your crappy encyclopedia and that's that.	I do not support your encyclopedia and that's that.	en
these idiots are bound and determined to start a civil war !	these people are bound and determined to start a civil war!	en
yeah , americans with quadruple citizenship so they have where to go in case shit gets serious anywhere else .	Yeah , Americans with quadruple citizenship so they have where to go in case things gets serious anywhere else .	en
fuck this scumbag piece of shit and all his political cohorts .	I disagree with him and his political cohorts.	en
just the shit they get are worth hundreds of thousands if not millions of dollars .	just the things they get are worth hundreds of thousands if not millions of dollars .	en
you see that kid talking to me i hate him he never leaves me alone.	you see that kid talking to me i don't really like him, because he never leaves me alone.	en
they must have been pretty stupid to get caught in today environment .	They must have been incompetent to get caught in today environment.	en
* well shit , cunt shot himself .	*well, he shot himself.	en
Are u there dick, wars back on!!!!	Are u there? The war is back on!	en
300 fucking years of mixing is MORE than enough to disqualify someone as part of a certain ethnic group.	Over 300 years of intermixing is sufficient to disqualify an individual from being considered as part of a specific ethnic group.	en
shit , they even do it in their own country .	They do it with their own country.	en
HEY CRETIN, LOOK UP YOUR HISTORY!	Hey, sir, look up your history.	en
instead of trying to make a difference , ye old witch was more interested in making a statement .	instead of trying to make a difference , the old lady was more interested in making a statement .	en
throwing his ass in jail is the best thing possible , since it protects others from his willful drunk driving .	Being sent to jail is the best thing possible, since it protects others from willful drunk driving.	en
Queen Mary Mrs Windsor's granny was a bitch.	Queen Mary Windsor's grandmother was not a pleasant person.	en
i just re watched letters from iwo jima this weekend and that was some brutal shit .	I just re watched letters from iwi jima this weekend and that was brutal	en
they are always puffing him up and blowing smoke up his butt and aggrandizing him and his fewaccomplishments .	the are always puffing him up and blowing smoke on him and aggrandizing him and his few accomplishments.	en
joke 's on you , you intolerant fuck .	Joke's on you	en
its one of those you don t know what your saying so i m correcting you cunts .	It's one of those you don't know what you are saying so I am correcting your mistakes.	en
gt thats really sad because what they really need to do is fuck off and mind their own business .	gt that's really sad because what they really need to do is mind their own business .	en
and because the government need this land , fuck people who live there , right ? .	and because the government need this land, the people who live there don't matter, right?	en
everybody is such a fucking pussy .	Everybody is acting cowardly.	en
I've come across Mokele before, he is a power hungry little bully.	I've come across Mokele before, he is a power hungry person.	en
the object is to waste peoples time deconstructing your foolish effusions .	the object is to waste peoples time deconstructing your effusions .	en
removed from reality in - fucking - deed	Removed from reality indeed	en
Target You are now a valid target, you nasty little shit!	Target You are now a valid target, you rude person!	en
they were most likely bought out by the fucking koch brothers .	They might have been bought out by koch brothers	en
people making moronic jokes Have no right to edit.	The people making bad jokes should not have a right to edit.	en
seriously , at least number people are dead leave aside your point scoring and generally just fuck off .	seriously, at least number people are dead so just keep quiet	en
Once again I'm SO glad that Wikipedia is not biased or filled with retarded children.	Once again, I'm so glad that Wikipedia is not biased or filled children.	en
lgbt whine and bitch all the way to the courts to have the twice declined decision overturned .	the lgbt community complained all the way to the courts to have the twice declined decision overturned .	en
it tastes like shit and i 've never even seen it available outside of five - star restaurants .	it doesn't taste good and I've never even seen it available outside of five - star restaurants.	en
yea , who the fuck is government to be involved my my your kids education ? .	yes, who is the government to be involved in my education of my children? .	en
those things are complete and utter pieces of shit .	Those things are meaningless	en
What the hell is with everybody making Etna articles?	Why everybody is making Etna articles?	en
You people are posting the WRONG results so its MY problem jackass	You people are posting the wrong results so its my problem.	en
holy shit why is this not higher up ? ? ?	why is this not higher up ? ? ?	en
it s refreshing to see someone who is so fucking smart and edgy .	it's refreshing to see someone who is so smart and edgy .	en
but mostly that middle of the street shit .	but mostly issues of middle of the street	en
careful , you just described the goonies , and that shit was classic .	careful , you just described the goonies , and that was classic	en
legacy of being a selfish shit head .	Legacy of being a selfish person	en
priceless, I hate that guy	Priceless, I dislike that guy.	en
call me on my stupidity ?	call me on my ignorance?	en
west is the spoiled shit .	west is bad.	en
his pay check from taxpayers because a bunch of idiot bureaucrats keeps adding zeros every time they open their mouths .	his pay check from taxpayers because a bunch of bureaucrats keeps adding zeros every time they open their mounths	en
what the hell question are you talking about ?	what is the question are you talking about?	en
ANI There are some whiners butt-hurt about comments you made.	There are some individuals who are upset about the comments you made.	en
piss me off , fuckin jerk , get on my nerves .	get on my nerves	en
he hasn t done shit for palestine .	He doesn't do anything for Palestine.	en
abortion is not a fundamental right it is a proceedure , nothing more idiot	Abortion is not a fundamental right it is a procedure	en
dont give us that crap about out of towners coming here and dropping bucketsey either .	dont give us that story about out of towners coming here and dropping bucketsey either	en
"top ten most relevant "" are you fucking sorry """	"Top ten most relevant "" are you sorry?"""	en
i m australian myself , but i don t say mate or cunt all the time .	I am an Australian, but I don't say profanity words all the time.	en
i m tired of dick jokes .	i m tired of  jokes	en
boeing is behaving exactly like any greedy bully would .	Boeing is behaving unfairly	en
STOP REVERTING MY EDITS YOU CUNT	Stop reverting my edits.	en
I'll bet 80% of what she did was rubbish	I'll bet 80% of what she did was not useful	en
collins , is an idiot , but we didnt need this article to establish that fact .	Colin is not so intelligent but we didn't need this article to establish this fact.	en
i couldn t even tell what the fuck it s saying .	I couldn't even tell what it was saying.	en
These are public computers. Don't ban uss all because a few people are retarded.	These are public computers. Don't ban uss all because a few people are retarded.	en
i have made the changes lets not let something this stupid happen again	i have made the changes lets not let something this bad happen again	en
i fuckin knew they were punking us .	i knew they were punking us .	en
